Time,Jakarta,Bandung,Semarang,Medan,Palembang,Bandar Lampung,Banjarmasin,Pontianak,Samarinda
Jan-2018,130.24,134.19,131.39,114.18,135.56,131.92,100.00,134.00,119.25
Feb-2018,126.67,125.30,128.56,101.32,134.61,126.08,98.82,129.83,116.33
Mar-2018,121.00,125.19,127.22,93.76,137.56,123.17,97.78,136.17,115.67
Apr-2018,126.71,123.00,135.33,86.51,127.78,118.42,103.26,145.50,113.33
May-2018,124.33,130.78,138.11,100.90,129.44,116.25,100.56,141.58,111.08
Jun-2018,129.76,133.00,140.39,104.23,144.00,119.50,107.78,147.33,111.50
Jul-2018,126.90,127.22,132.72,97.04,135.00,125.00,105.42,141.08,110.25
Aug-2018,122.76,120.59,133.00,95.34,131.44,114.58,101.11,132.92,115.42
Sep-2018,123.86,122.96,129.83,94.44,133.50,114.92,101.25,131.50,113.17
Oct-2018,120.67,116.33,140.67,91.38,132.00,118.33,103.19,121.67,113.92
Nov-2018,125.43,124.15,130.11,95.50,134.78,116.58,100.63,132.17,114.17
Dec-2018,128.67,129.56,140.50,99.37,140.72,121.42,97.71,126.58,119.50
Jan-2019,125.10,126.07,141.28,98.99,133.50,127.25,97.71,115.17,117.83
Feb-2019,124.00,124.41,138.28,103.70,136.33,124.42,89.72,119.33,113.42
Mar-2019,125.48,120.96,143.67,103.86,137.78,116.42,90.00,115.42,112.50
Apr-2019,135.57,126.59,143.39,103.70,136.89,121.67,100.42,117.08,106.42
May-2019,126.81,126.00,146.56,110.74,139.22,129.67,89.51,128.42,107.83
Jun-2019,128.00,121.04,148.33,108.31,142.00,126.42,89.03,133.17,111.25
Jul-2019,129.10,122.07,141.89,94.18,140.28,116.25,93.40,118.42,115.83
Aug-2019,121.95,121.04,146.17,107.67,138.28,122.00,87.36,124.33,111.67
Sep-2019,118.00,119.22,143.00,93.76,138.44,116.08,88.19,123.00,113.08
Oct-2019,117.52,113.81,141.56,102.12,138.00,115.83,80.00,139.08,115.42
Nov-2019,128.10,121.19,141.17,115.82,145.28,117.92,77.64,135.08,108.17
Dec-2019,128.33,122.89,139.33,123.65,147.39,123.00,85.21,133.00,114.17
Jan-2020,120.67,119.70,139.78,110.85,140.11,129.42,95.35,137.33,110.25
Feb-2020,119.76,118.48,138.06,95.71,149.94,123.92,89.65,140.42,109.92
Mar-2020,115.48,110.44,134.67,97.51,136.56,124.42,84.65,137.00,107.25
Apr-2020,91.67,88.44,97.22,73.28,88.83,91.75,65.35,106.08,72.50
May-2020,76.33,79.26,99.00,71.43,91.06,80.42,63.40,95.17,75.00
Jun-2020,93.14,89.48,98.06,66.56,85.28,83.25,69.86,103.17,89.00
Jul-2020,89.10,92.33,96.17,68.94,96.28,95.08,81.74,102.42,94.92
Aug-2020,82.29,85.70,97.50,65.87,93.11,93.83,81.94,96.33,90.25
Sep-2020,67.90,83.37,94.00,74.60,89.33,88.25,80.00,93.42,82.17
Oct-2020,74.43,73.74,93.94,63.49,92.67,78.25,82.29,75.50,73.17
Nov-2020,92.29,93.52,98.89,75.61,97.83,100.42,87.85,106.83,95.92
Dec-2020,101.38,98.96,107.00,77.94,103.72,110.58,95.14,115.75,92.92
Jan-2021,96.81,77.19,104.72,85.13,102.28,103.58,86.67,111.17,99.08
Feb-2021,97.05,73.78,99.11,73.39,96.44,97.25,90.00,108.58,107.08
Mar-2021,104.14,76.59,112.06,70.58,99.00,110.00,91.94,122.25,106.83
Apr-2021,112.95,94.44,113.56,70.85,109.22,114.67,98.06,131.25,117.00
May-2021,110.19,86.37,118.50,105.45,112.67,112.75,89.03,126.83,105.75
Jun-2021,108.43,95.96,116.17,90.63,101.67,120.83,95.83,115.58,103.83
Jul-2021,80.14,60.96,90.56,65.66,89.33,88.08,83.89,99.25,94.42
Aug-2021,94.81,63.37,94.17,68.78,77.39,88.17,75.21,87.50,94.33
Sep-2021,112.67,94.15,113.00,69.79,89.33,97.25,75.35,123.08,104.42
Oct-2021,134.48,109.78,124.78,93.81,106.39,118.92,105.35,118.83,125.83
Nov-2021,133.33,113.78,125.67,92.86,122.00,130.83,107.08,144.25,113.92
Dec-2021,144.86,108.37,127.39,94.44,118.17,130.00,106.74,126.00,124.75
Jan-2022,134.05,104.00,130.56,99.31,126.89,125.08,111.94,142.17,130.17
Feb-2022,123.14,96.96,122.67,91.48,124.11,115.00,97.78,142.67,123.33
Mar-2022,129.29,94.41,122.94,86.77,121.67,107.75,100.14,123.67,116.67
Apr-2022,139.99,90.85,121.89,84.50,123.67,130.83,93.13,135.25,131.25
May-2022,142.29,121.85,143.56,106.67,130.89,141.25,116.46,130.92,135.00
Jun-2022,144.48,114.67,143.44,96.83,134.33,130.17,116.25,146.33,141.50
Jul-2022,143.95,103.59,130.00,101.01,121.11,117.33,117.71,136.67,125.08
Aug-2022,152.52,99.74,132.17,101.90,137.06,129.17,106.94,140.00,123.83
Sep-2022,145.43,96.56,124.44,78.47,128.22,116.25,95.07,132.83,119.58
Oct-2022,151.05,102.37,124.17,83.76,130.28,109.25,100.14,132.42,133.67
Nov-2022,151.86,98.48,123.94,82.70,130.94,114.58,91.32,126.42,129.00
Dec-2022,146.57,96.22,125.17,96.35,130.11,122.92,102.29,127.50,133.75
Jan-2023,148.71,98.78,130.94,90.48,134.72,133.92,105.63,141.08,138.83
Feb-2023,153.10,101.07,130.78,96.03,137.17,130.83,102.08,132.50,141.00
Mar-2023,147.10,100.44,137.06,91.43,133.17,126.42,101.94,136.50,138.00
Apr-2023,147.76,105.48,138.78,101.27,129.50,124.33,104.38,129.17,132.58
May-2023,147.38,107.63,138.00,102.49,137.83,151.67,120.00,131.42,136.25
Jun-2023,149.81,107.96,140.61,95.77,137.83,139.83,108.89,132.00,139.08
Jul-2023,146.95,103.59,132.11,87.46,122.11,135.08,102.29,136.08,142.50
Aug-2023,146.90,102.15,141.28,80.42,140.72,137.50,102.50,131.00,143.42
Sep-2023,143.19,99.04,137.61,87.09,143.94,129.75,106.60,124.17,144.67
Oct-2023,136.71,108.81,140.39,90.58,141.22,128.42,96.18,133.42,140.92
Nov-2023,137.05,102.93,136.94,85.98,143.17,141.00,108.96,125.00,143.75
Dec-2023,139.48,104.96,137.94,90.79,141.94,131.75,108.19,125.08,144.67
Jan-2024,141.86,100.89,136.00,105.29,132.50,138.33,114.38,127.75,145.50
Feb-2024,144.38,103.63,133.72,94.13,137.50,133.08,101.67,129.92,147.17
Mar-2024,143.76,109.63,133.11,91.01,138.61,129.00,102.92,127.08,148.92
Apr-2024,142.10,110.41,138.28,101.32,132.67,141.75,101.25,138.17,150.33
May-2024,144.90,104.26,136.39,94.39,131.39,138.25,95.14,130.58,149.58
Jun-2024,137.67,111.11,133.56,99.05,129.17,139.00,96.81,119.58,150.25
Jul-2024,140.67,109.07,134.61,96.03,123.39,122.75,111.60,109.25,149.42
Aug-2024,139.00,113.85,136.17,89.47,118.00,123.08,116.11,122.42,151.58
Sep-2024,138.52,108.37,134.89,98.47,114.44,123.17,109.65,119.92,150.25
Oct-2024,135.48,105.70,134.28,101.32,110.94,132.08,114.17,112.25,151.50
Nov-2024,139.71,113.00,134.33,106.30,122.44,133.75,114.51,120.17,150.75
Dec-2024,144.24,109.22,139.67,105.87,126.78,144.75,117.08,125.08,152.50
Jan-2025,141.14,109.70,130.50,114.34,124.89,142.08,134.10,128.75,153.75
Feb-2025,144.86,113.07,129.56,101.59,125.39,130.17,125.69,128.83,152.08
Mar-2025,144.86,103.81,116.33,100.37,125.72,124.83,130.49,124.25,149.17
Apr-2025,148.95,113.00,111.56,106.30,123.17,108.50,120.00,117.25,146.83
May-2025,143.24,108.30,120.78,88.94,118.83,111.83,115.42,117.75,145.58
Jun-2025,144.52,106.30,109.94,99.26,113.39,107.83,114.65,113.50,147.83
Jul-2025,149.67,105.07,116.78,92.75,113.89,109.75,118.33,120.42,145.58
Aug-2025,150.00,108.04,108.50,90.37,112.28,118.58,110.42,113.67,143.83
